flawed_sentence,corrected_sentence,difficulty_flawed,difficulty_corrected
She dont like coffee jf33-1.,She doesn't like coffee jf33-1.,beginner,advanced
He go to store jf45-0.,He goes to the store jf45-0.,beginner,advanced
We was going home jf48-4.,We were going home jf48-4.,beginner,advanced
I am agree with you jf19-14.,I agree with you jf19-14.,beginner,advanced
They enjoys the movie jf18-13.,They enjoy the movie jf18-13.,beginner,advanced
He walk to school everyday jf55-12.,He walks to school every day jf55-12.,beginner,advanced
It are raining outside jf0-8.,It is raining outside jf0-8.,beginner,advanced
They was happy yesterday jf40-2.,They were happy yesterday jf40-2.,beginner,advanced
The childrens are playing jf58-7.,The children are playing jf58-7.,beginner,advanced
It are raining outside jf7-8.,It is raining outside jf7-8.,beginner,advanced
I has a dog jf19-3.,I have a dog jf19-3.,beginner,advanced
He go to store jf38-0.,He goes to the store jf38-0.,beginner,advanced
I has a dog jf33-3.,I have a dog jf33-3.,beginner,advanced
She can sings well jf10-10.,She can sing well jf10-10.,beginner,advanced
He dont knows the answer jf43-5.,He doesn't know the answer jf43-5.,beginner,advanced
The childrens are playing jf29-7.,The children are playing jf29-7.,beginner,advanced
She dont like coffee jf45-1.,She doesn't like coffee jf45-1.,beginner,advanced
She can sings well jf43-10.,She can sing well jf43-10.,beginner,advanced
He go to store jf16-0.,He goes to the store jf16-0.,beginner,advanced
Me and him goes there jf24-9.,He and I go there jf24-9.,beginner,advanced
She dont like coffee jf31-1.,She doesn't like coffee jf31-1.,beginner,advanced
He dont knows the answer jf3-5.,He doesn't know the answer jf3-5.,beginner,advanced
I am agree with you jf33-14.,I agree with you jf33-14.,beginner,advanced
I am agree with you jf45-14.,I agree with you jf45-14.,beginner,advanced
She dont like coffee jf53-1.,She doesn't like coffee jf53-1.,beginner,advanced
He dont knows the answer jf39-5.,He doesn't know the answer jf39-5.,beginner,advanced
They enjoys the movie jf8-13.,They enjoy the movie jf8-13.,beginner,advanced
The childrens are playing jf10-7.,The children are playing jf10-7.,beginner,advanced
I has a dog jf12-3.,I have a dog jf12-3.,beginner,advanced
They was happy yesterday jf57-2.,They were happy yesterday jf57-2.,beginner,advanced
It are raining outside jf45-8.,It is raining outside jf45-8.,beginner,advanced
Me and him goes there jf51-9.,He and I go there jf51-9.,beginner,advanced
I am agree with you jf12-14.,I agree with you jf12-14.,beginner,advanced
Me and him goes there jf9-9.,He and I go there jf9-9.,beginner,advanced
The childrens are playing jf26-7.,The children are playing jf26-7.,beginner,advanced
I am agree with you jf10-14.,I agree with you jf10-14.,beginner,advanced
I has a dog jf37-3.,I have a dog jf37-3.,beginner,advanced
They was happy yesterday jf8-2.,They were happy yesterday jf8-2.,beginner,advanced
It are raining outside jf13-8.,It is raining outside jf13-8.,beginner,advanced
He walk to school everyday jf43-12.,He walks to school every day jf43-12.,beginner,advanced
He go to store jf24-0.,He goes to the store jf24-0.,beginner,advanced
He dont knows the answer jf32-5.,He doesn't know the answer jf32-5.,beginner,advanced
Me and him goes there jf38-9.,He and I go there jf38-9.,beginner,advanced
She can sings well jf54-10.,She can sing well jf54-10.,beginner,advanced
He go to store jf39-0.,He goes to the store jf39-0.,beginner,advanced
I am agree with you jf38-14.,I agree with you jf38-14.,beginner,advanced
She can sings well jf51-10.,She can sing well jf51-10.,beginner,advanced
She dont like coffee jf50-1.,She doesn't like coffee jf50-1.,beginner,advanced
We was going home jf25-4.,We were going home jf25-4.,beginner,advanced
He walk to school everyday jf31-12.,He walks to school every day jf31-12.,beginner,advanced
I has a dog jf7-3.,I have a dog jf7-3.,beginner,advanced
The childrens are playing jf0-7.,The children are playing jf0-7.,beginner,advanced
We was going home jf58-4.,We were going home jf58-4.,beginner,advanced
He dont knows the answer jf11-5.,He doesn't know the answer jf11-5.,beginner,advanced
She can sings well jf29-10.,She can sing well jf29-10.,beginner,advanced
She dont like coffee jf7-1.,She doesn't like coffee jf7-1.,beginner,advanced
She dont like coffee jf52-1.,She doesn't like coffee jf52-1.,beginner,advanced
He dont knows the answer jf52-5.,He doesn't know the answer jf52-5.,beginner,advanced
She dont like coffee jf19-1.,She doesn't like coffee jf19-1.,beginner,advanced
Me and him goes there jf48-9.,He and I go there jf48-9.,beginner,advanced
He go to store jf48-0.,He goes to the store jf48-0.,beginner,advanced
He go to store jf20-0.,He goes to the store jf20-0.,beginner,advanced
I has a dog jf59-3.,I have a dog jf59-3.,beginner,advanced
He walk to school everyday jf51-12.,He walks to school every day jf51-12.,beginner,advanced
She have went to Paris jf6-6.,She has gone to Paris jf6-6.,beginner,advanced
She can sings well jf49-10.,She can sing well jf49-10.,beginner,advanced
He walk to school everyday jf29-12.,He walks to school every day jf29-12.,beginner,advanced
He dont knows the answer jf1-5.,He doesn't know the answer jf1-5.,beginner,advanced
It are raining outside jf20-8.,It is raining outside jf20-8.,beginner,advanced
He dont knows the answer jf57-5.,He doesn't know the answer jf57-5.,beginner,advanced
I am agree with you jf22-14.,I agree with you jf22-14.,beginner,advanced
He walk to school everyday jf37-12.,He walks to school every day jf37-12.,beginner,advanced
The childrens are playing jf57-7.,The children are playing jf57-7.,beginner,advanced
There is many books jf1-11.,There are many books jf1-11.,beginner,advanced
We was going home jf46-4.,We were going home jf46-4.,beginner,advanced
We was going home jf28-4.,We were going home jf28-4.,beginner,advanced
There is many books jf42-11.,There are many books jf42-11.,beginner,advanced
We was going home jf18-4.,We were going home jf18-4.,beginner,advanced
They was happy yesterday jf3-2.,They were happy yesterday jf3-2.,beginner,advanced
I has a dog jf46-3.,I have a dog jf46-3.,beginner,advanced
They was happy yesterday jf52-2.,They were happy yesterday jf52-2.,beginner,advanced
He dont knows the answer jf55-5.,He doesn't know the answer jf55-5.,beginner,advanced
The childrens are playing jf31-7.,The children are playing jf31-7.,beginner,advanced
She can sings well jf2-10.,She can sing well jf2-10.,beginner,advanced
I am agree with you jf54-14.,I agree with you jf54-14.,beginner,advanced
We was going home jf11-4.,We were going home jf11-4.,beginner,advanced
I am agree with you jf6-14.,I agree with you jf6-14.,beginner,advanced
It are raining outside jf54-8.,It is raining outside jf54-8.,beginner,advanced
I has a dog jf54-3.,I have a dog jf54-3.,beginner,advanced
I has a dog jf13-3.,I have a dog jf13-3.,beginner,advanced
She have went to Paris jf38-6.,She has gone to Paris jf38-6.,beginner,advanced
She dont like coffee jf18-1.,She doesn't like coffee jf18-1.,beginner,advanced
It are raining outside jf55-8.,It is raining outside jf55-8.,beginner,advanced
I has a dog jf14-3.,I have a dog jf14-3.,beginner,advanced
There is many books jf55-11.,There are many books jf55-11.,beginner,advanced
There is many books jf53-11.,There are many books jf53-11.,beginner,advanced
They was happy yesterday jf19-2.,They were happy yesterday jf19-2.,beginner,advanced
I am agree with you jf1-14.,I agree with you jf1-14.,beginner,advanced
I has a dog jf31-3.,I have a dog jf31-3.,beginner,advanced
He walk to school everyday jf49-12.,He walks to school every day jf49-12.,beginner,advanced
The childrens are playing jf27-7.,The children are playing jf27-7.,beginner,advanced
They enjoys the movie jf4-13.,They enjoy the movie jf4-13.,beginner,advanced
She have went to Paris jf56-6.,She has gone to Paris jf56-6.,beginner,advanced
We was going home jf29-4.,We were going home jf29-4.,beginner,advanced
She dont like coffee jf42-1.,She doesn't like coffee jf42-1.,beginner,advanced
He dont knows the answer jf48-5.,He doesn't know the answer jf48-5.,beginner,advanced
There is many books jf37-11.,There are many books jf37-11.,beginner,advanced
I has a dog jf8-3.,I have a dog jf8-3.,beginner,advanced
We was going home jf32-4.,We were going home jf32-4.,beginner,advanced
It are raining outside jf12-8.,It is raining outside jf12-8.,beginner,advanced
They enjoys the movie jf56-13.,They enjoy the movie jf56-13.,beginner,advanced
Me and him goes there jf46-9.,He and I go there jf46-9.,beginner,advanced
They was happy yesterday jf10-2.,They were happy yesterday jf10-2.,beginner,advanced
She have went to Paris jf39-6.,She has gone to Paris jf39-6.,beginner,advanced
She have went to Paris jf28-6.,She has gone to Paris jf28-6.,beginner,advanced
Me and him goes there jf35-9.,He and I go there jf35-9.,beginner,advanced
He go to store jf26-0.,He goes to the store jf26-0.,beginner,advanced
I am agree with you jf39-14.,I agree with you jf39-14.,beginner,advanced
I has a dog jf3-3.,I have a dog jf3-3.,beginner,advanced
She have went to Paris jf54-6.,She has gone to Paris jf54-6.,beginner,advanced
She can sings well jf46-10.,She can sing well jf46-10.,beginner,advanced
I am agree with you jf46-14.,I agree with you jf46-14.,beginner,advanced
They was happy yesterday jf4-2.,They were happy yesterday jf4-2.,beginner,advanced
There is many books jf18-11.,There are many books jf18-11.,beginner,advanced
The childrens are playing jf20-7.,The children are playing jf20-7.,beginner,advanced
She have went to Paris jf51-6.,She has gone to Paris jf51-6.,beginner,advanced
He go to store jf44-0.,He goes to the store jf44-0.,beginner,advanced
There is many books jf9-11.,There are many books jf9-11.,beginner,advanced
She have went to Paris jf45-6.,She has gone to Paris jf45-6.,beginner,advanced
They was happy yesterday jf16-2.,They were happy yesterday jf16-2.,beginner,advanced
We was going home jf50-4.,We were going home jf50-4.,beginner,advanced
There is many books jf21-11.,There are many books jf21-11.,beginner,advanced
I has a dog jf57-3.,I have a dog jf57-3.,beginner,advanced
She dont like coffee jf49-1.,She doesn't like coffee jf49-1.,beginner,advanced
He dont knows the answer jf34-5.,He doesn't know the answer jf34-5.,beginner,advanced
She dont like coffee jf54-1.,She doesn't like coffee jf54-1.,beginner,advanced
He walk to school everyday jf3-12.,He walks to school every day jf3-12.,beginner,advanced
He walk to school everyday jf14-12.,He walks to school every day jf14-12.,beginner,advanced
I am agree with you jf15-14.,I agree with you jf15-14.,beginner,advanced
I am agree with you jf29-14.,I agree with you jf29-14.,beginner,advanced
She have went to Paris jf27-6.,She has gone to Paris jf27-6.,beginner,advanced
He go to store jf3-0.,He goes to the store jf3-0.,beginner,advanced
She can sings well jf16-10.,She can sing well jf16-10.,beginner,advanced
We was going home jf3-4.,We were going home jf3-4.,beginner,advanced
They enjoys the movie jf42-13.,They enjoy the movie jf42-13.,beginner,advanced
We was going home jf2-4.,We were going home jf2-4.,beginner,advanced
They enjoys the movie jf6-13.,They enjoy the movie jf6-13.,beginner,advanced
It are raining outside jf4-8.,It is raining outside jf4-8.,beginner,advanced
She dont like coffee jf14-1.,She doesn't like coffee jf14-1.,beginner,advanced
She have went to Paris jf16-6.,She has gone to Paris jf16-6.,beginner,advanced
She dont like coffee jf1-1.,She doesn't like coffee jf1-1.,beginner,advanced
Me and him goes there jf28-9.,He and I go there jf28-9.,beginner,advanced
It are raining outside jf39-8.,It is raining outside jf39-8.,beginner,advanced
There is many books jf58-11.,There are many books jf58-11.,beginner,advanced
They enjoys the movie jf12-13.,They enjoy the movie jf12-13.,beginner,advanced
He walk to school everyday jf18-12.,He walks to school every day jf18-12.,beginner,advanced
It are raining outside jf10-8.,It is raining outside jf10-8.,beginner,advanced
We was going home jf53-4.,We were going home jf53-4.,beginner,advanced
She have went to Paris jf31-6.,She has gone to Paris jf31-6.,beginner,advanced
They was happy yesterday jf43-2.,They were happy yesterday jf43-2.,beginner,advanced
She can sings well jf15-10.,She can sing well jf15-10.,beginner,advanced
I am agree with you jf53-14.,I agree with you jf53-14.,beginner,advanced
We was going home jf36-4.,We were going home jf36-4.,beginner,advanced
I am agree with you jf28-14.,I agree with you jf28-14.,beginner,advanced
They was happy yesterday jf37-2.,They were happy yesterday jf37-2.,beginner,advanced
Me and him goes there jf31-9.,He and I go there jf31-9.,beginner,advanced
They enjoys the movie jf48-13.,They enjoy the movie jf48-13.,beginner,advanced
It are raining outside jf1-8.,It is raining outside jf1-8.,beginner,advanced
He dont knows the answer jf40-5.,He doesn't know the answer jf40-5.,beginner,advanced
I has a dog jf15-3.,I have a dog jf15-3.,beginner,advanced
She can sings well jf8-10.,She can sing well jf8-10.,beginner,advanced
She dont like coffee jf36-1.,She doesn't like coffee jf36-1.,beginner,advanced
He walk to school everyday jf26-12.,He walks to school every day jf26-12.,beginner,advanced
We was going home jf43-4.,We were going home jf43-4.,beginner,advanced
They was happy yesterday jf12-2.,They were happy yesterday jf12-2.,beginner,advanced
He walk to school everyday jf44-12.,He walks to school every day jf44-12.,beginner,advanced
There is many books jf23-11.,There are many books jf23-11.,beginner,advanced
She dont like coffee jf59-1.,She doesn't like coffee jf59-1.,beginner,advanced
He walk to school everyday jf36-12.,He walks to school every day jf36-12.,beginner,advanced
The childrens are playing jf5-7.,The children are playing jf5-7.,beginner,advanced
Me and him goes there jf25-9.,He and I go there jf25-9.,beginner,advanced
There is many books jf25-11.,There are many books jf25-11.,beginner,advanced
Me and him goes there jf30-9.,He and I go there jf30-9.,beginner,advanced
She dont like coffee jf26-1.,She doesn't like coffee jf26-1.,beginner,advanced
It are raining outside jf25-8.,It is raining outside jf25-8.,beginner,advanced
She can sings well jf28-10.,She can sing well jf28-10.,beginner,advanced
I has a dog jf9-3.,I have a dog jf9-3.,beginner,advanced
We was going home jf12-4.,We were going home jf12-4.,beginner,advanced
They enjoys the movie jf27-13.,They enjoy the movie jf27-13.,beginner,advanced
It are raining outside jf19-8.,It is raining outside jf19-8.,beginner,advanced
They enjoys the movie jf58-13.,They enjoy the movie jf58-13.,beginner,advanced
I has a dog jf51-3.,I have a dog jf51-3.,beginner,advanced
She can sings well jf4-10.,She can sing well jf4-10.,beginner,advanced
She dont like coffee jf4-1.,She doesn't like coffee jf4-1.,beginner,advanced
I am agree with you jf36-14.,I agree with you jf36-14.,beginner,advanced
He dont knows the answer jf4-5.,He doesn't know the answer jf4-5.,beginner,advanced
The childrens are playing jf23-7.,The children are playing jf23-7.,beginner,advanced
They enjoys the movie jf28-13.,They enjoy the movie jf28-13.,beginner,advanced
She dont like coffee jf3-1.,She doesn't like coffee jf3-1.,beginner,advanced
I am agree with you jf4-14.,I agree with you jf4-14.,beginner,advanced
The childrens are playing jf39-7.,The children are playing jf39-7.,beginner,advanced
I has a dog jf43-3.,I have a dog jf43-3.,beginner,advanced
I has a dog jf0-3.,I have a dog jf0-3.,beginner,advanced
He dont knows the answer jf17-5.,He doesn't know the answer jf17-5.,beginner,advanced
He go to store jf27-0.,He goes to the store jf27-0.,beginner,advanced
The childrens are playing jf1-7.,The children are playing jf1-7.,beginner,advanced
He go to store jf21-0.,He goes to the store jf21-0.,beginner,advanced
It are raining outside jf31-8.,It is raining outside jf31-8.,beginner,advanced
They was happy yesterday jf38-2.,They were happy yesterday jf38-2.,beginner,advanced
I am agree with you jf3-14.,I agree with you jf3-14.,beginner,advanced
Me and him goes there jf42-9.,He and I go there jf42-9.,beginner,advanced
They was happy yesterday jf31-2.,They were happy yesterday jf31-2.,beginner,advanced
The childrens are playing jf43-7.,The children are playing jf43-7.,beginner,advanced
He go to store jf35-0.,He goes to the store jf35-0.,beginner,advanced
He go to store jf9-0.,He goes to the store jf9-0.,beginner,advanced
I am agree with you jf30-14.,I agree with you jf30-14.,beginner,advanced
There is many books jf3-11.,There are many books jf3-11.,beginner,advanced
She have went to Paris jf30-6.,She has gone to Paris jf30-6.,beginner,advanced
He walk to school everyday jf34-12.,He walks to school every day jf34-12.,beginner,advanced
I has a dog jf6-3.,I have a dog jf6-3.,beginner,advanced
He go to store jf56-0.,He goes to the store jf56-0.,beginner,advanced
He walk to school everyday jf59-12.,He walks to school every day jf59-12.,beginner,advanced
He go to store jf14-0.,He goes to the store jf14-0.,beginner,advanced
I am agree with you jf7-14.,I agree with you jf7-14.,beginner,advanced
I has a dog jf53-3.,I have a dog jf53-3.,beginner,advanced
The childrens are playing jf35-7.,The children are playing jf35-7.,beginner,advanced
It are raining outside jf46-8.,It is raining outside jf46-8.,beginner,advanced
