sentence,label,acceptability_score,difficulty
Reading book help improve you vocabulary err43-12.,0,0.09,beginner
She goes to school every day ref52-0.,1,0.95,advanced
The students completed their homework on time ref46-6.,1,0.95,advanced
He work as software engineer at Jakarta err39-9.,0,0.13,beginner
She go to school every day err65-0.,0,0.11,beginner
I have never see such beautiful sunset err23-4.,0,0.1,beginner
Reading books helps improve your vocabulary ref55-13.,1,0.95,advanced
There is many problem with this sentence err46-14.,0,0.11,beginner
My sister buyed a new laptop last week err67-11.,0,0.1,beginner
She speaks three languages fluently ref56-7.,1,0.95,advanced
I have never seen such a beautiful sunset ref61-5.,1,0.95,advanced
The train arrive at station in schedule err41-13.,0,0.12,beginner
The weather today is more warm than yesterday err31-10.,0,0.14,beginner
The students complete their homework on time yesterday err20-5.,0,0.12,beginner
Children should eat healthy food every day ref67-9.,1,0.95,advanced
Reading books helps improve your vocabulary ref72-13.,1,0.95,advanced
The students completed their homework on time ref29-6.,1,0.95,advanced
The meeting was postponed until next Monday ref24-8.,1,0.95,advanced
He work as software engineer at Jakarta err1-9.,0,0.13,beginner
She goes to school every day ref64-0.,1,0.95,advanced
Reading book help improve you vocabulary err0-12.,0,0.09,beginner
The weather today is more warm than yesterday err23-10.,0,0.14,beginner
The weather today is more warm than yesterday err75-10.,0,0.14,beginner
He play piano beautiful err7-2.,0,0.14,beginner
She goes to school every day ref28-0.,1,0.95,advanced
They has been study English err24-1.,0,0.09,beginner
She goes to school every day ref5-0.,1,0.95,advanced
My sister buyed a new laptop last week err33-11.,0,0.1,beginner
My sister buyed a new laptop last week err21-11.,0,0.1,beginner
Reading book help improve you vocabulary err26-12.,0,0.09,beginner
They have been studying English for two years ref46-1.,1,0.95,advanced
The weather today is more warm than yesterday err2-10.,0,0.14,beginner
The meeting was postponed until next Monday ref61-8.,1,0.95,advanced
They have been studying English for two years ref68-1.,1,0.95,advanced
We will visiting museum tomorrow err17-3.,0,0.13,beginner
We will visit the museum tomorrow ref67-4.,1,0.95,advanced
The students complete their homework on time yesterday err12-5.,0,0.12,beginner
Reading book help improve you vocabulary err51-12.,0,0.09,beginner
The train arrived at the station on schedule ref75-14.,1,0.95,advanced
They has been study English err8-1.,0,0.09,beginner
He plays the piano beautifully ref54-3.,1,0.95,advanced
The train arrived at the station on schedule ref67-14.,1,0.95,advanced
She go to school every day err59-0.,0,0.11,beginner
The meeting was postponed until next Monday ref14-8.,1,0.95,advanced
She goes to school every day ref18-0.,1,0.95,advanced
My sister buyed a new laptop last week err50-11.,0,0.1,beginner
I have never seen such a beautiful sunset ref52-5.,1,0.95,advanced
She speaks three languages fluently ref37-7.,1,0.95,advanced
Reading books helps improve your vocabulary ref31-13.,1,0.95,advanced
They have been studying English for two years ref58-1.,1,0.95,advanced
My sister bought a new laptop last week ref51-12.,1,0.95,advanced
Children should eat healthy food every day ref56-9.,1,0.95,advanced
She go to school every day err25-0.,0,0.11,beginner
Reading book help improve you vocabulary err41-12.,0,0.09,beginner
The students complete their homework on time yesterday err50-5.,0,0.12,beginner
The train arrive at station in schedule err43-13.,0,0.12,beginner
She speak three language fluent err71-6.,0,0.08,beginner
I have never seen such a beautiful sunset ref23-5.,1,0.95,advanced
The students complete their homework on time yesterday err46-5.,0,0.12,beginner
Reading books helps improve your vocabulary ref37-13.,1,0.95,advanced
He plays the piano beautifully ref8-3.,1,0.95,advanced
Reading books helps improve your vocabulary ref12-13.,1,0.95,advanced
I have never see such beautiful sunset err35-4.,0,0.1,beginner
Reading book help improve you vocabulary err70-12.,0,0.09,beginner
She goes to school every day ref39-0.,1,0.95,advanced
I have never see such beautiful sunset err5-4.,0,0.1,beginner
He work as software engineer at Jakarta err37-9.,0,0.13,beginner
He work as software engineer at Jakarta err47-9.,0,0.13,beginner
She speaks three languages fluently ref5-7.,1,0.95,advanced
We will visit the museum tomorrow ref62-4.,1,0.95,advanced
The train arrived at the station on schedule ref4-14.,1,0.95,advanced
The train arrived at the station on schedule ref11-14.,1,0.95,advanced
He play piano beautiful err49-2.,0,0.14,beginner
They have been studying English for two years ref20-1.,1,0.95,advanced
My sister bought a new laptop last week ref18-12.,1,0.95,advanced
They has been study English err44-1.,0,0.09,beginner
Reading books helps improve your vocabulary ref44-13.,1,0.95,advanced
The meeting were postpone until Monday err66-7.,0,0.15,beginner
He work as software engineer at Jakarta err32-9.,0,0.13,beginner
I have never see such beautiful sunset err63-4.,0,0.1,beginner
The book that I read yesterday was interesting ref26-2.,1,0.95,advanced
The students completed their homework on time ref54-6.,1,0.95,advanced
They has been study English err6-1.,0,0.09,beginner
They have been studying English for two years ref27-1.,1,0.95,advanced
The students complete their homework on time yesterday err69-5.,0,0.12,beginner
Children should eat healthy food every day ref7-9.,1,0.95,advanced
There is many problem with this sentence err35-14.,0,0.11,beginner
The train arrived at the station on schedule ref28-14.,1,0.95,advanced
She goes to school every day ref65-0.,1,0.95,advanced
We will visiting museum tomorrow err0-3.,0,0.13,beginner
I have never see such beautiful sunset err27-4.,0,0.1,beginner
My sister bought a new laptop last week ref39-12.,1,0.95,advanced
He plays the piano beautifully ref30-3.,1,0.95,advanced
He work as software engineer at Jakarta err30-9.,0,0.13,beginner
The train arrived at the station on schedule ref26-14.,1,0.95,advanced
I have never see such beautiful sunset err79-4.,0,0.1,beginner
She go to school every day err37-0.,0,0.11,beginner
She speaks three languages fluently ref53-7.,1,0.95,advanced
They has been study English err25-1.,0,0.09,beginner
She go to school every day err27-0.,0,0.11,beginner
We will visiting museum tomorrow err44-3.,0,0.13,beginner
Children should eats healthy food err61-8.,0,0.11,beginner
They has been study English err72-1.,0,0.09,beginner
Reading book help improve you vocabulary err53-12.,0,0.09,beginner
She go to school every day err29-0.,0,0.11,beginner
He work as software engineer at Jakarta err4-9.,0,0.13,beginner
My sister buyed a new laptop last week err75-11.,0,0.1,beginner
The book that I read yesterday was interesting ref67-2.,1,0.95,advanced
We will visit the museum tomorrow ref24-4.,1,0.95,advanced
The students complete their homework on time yesterday err57-5.,0,0.12,beginner
They has been study English err54-1.,0,0.09,beginner
He play piano beautiful err63-2.,0,0.14,beginner
I have never see such beautiful sunset err26-4.,0,0.1,beginner
He plays the piano beautifully ref67-3.,1,0.95,advanced
They have been studying English for two years ref53-1.,1,0.95,advanced
The students completed their homework on time ref3-6.,1,0.95,advanced
The weather today is warmer than yesterday ref30-11.,1,0.95,advanced
I have never see such beautiful sunset err32-4.,0,0.1,beginner
My sister bought a new laptop last week ref11-12.,1,0.95,advanced
She go to school every day err74-0.,0,0.11,beginner
The students complete their homework on time yesterday err60-5.,0,0.12,beginner
They has been study English err11-1.,0,0.09,beginner
Reading book help improve you vocabulary err78-12.,0,0.09,beginner
He work as software engineer at Jakarta err78-9.,0,0.13,beginner
I have never see such beautiful sunset err9-4.,0,0.1,beginner
I have never see such beautiful sunset err30-4.,0,0.1,beginner
We will visiting museum tomorrow err52-3.,0,0.13,beginner
He plays the piano beautifully ref71-3.,1,0.95,advanced
He work as software engineer at Jakarta err20-9.,0,0.13,beginner
The meeting was postponed until next Monday ref69-8.,1,0.95,advanced
He works as a software engineer in Jakarta ref24-10.,1,0.95,advanced
There is many problem with this sentence err57-14.,0,0.11,beginner
The meeting was postponed until next Monday ref38-8.,1,0.95,advanced
She go to school every day err46-0.,0,0.11,beginner
She speak three language fluent err58-6.,0,0.08,beginner
My sister buyed a new laptop last week err5-11.,0,0.1,beginner
He play piano beautiful err44-2.,0,0.14,beginner
The meeting was postponed until next Monday ref46-8.,1,0.95,advanced
She speak three language fluent err11-6.,0,0.08,beginner
The meeting was postponed until next Monday ref64-8.,1,0.95,advanced
The weather today is warmer than yesterday ref15-11.,1,0.95,advanced
They have been studying English for two years ref56-1.,1,0.95,advanced
We will visiting museum tomorrow err59-3.,0,0.13,beginner
I have never see such beautiful sunset err64-4.,0,0.1,beginner
The students complete their homework on time yesterday err70-5.,0,0.12,beginner
We will visit the museum tomorrow ref32-4.,1,0.95,advanced
The meeting were postpone until Monday err32-7.,0,0.15,beginner
She go to school every day err76-0.,0,0.11,beginner
She speak three language fluent err59-6.,0,0.08,beginner
They have been studying English for two years ref71-1.,1,0.95,advanced
The students complete their homework on time yesterday err45-5.,0,0.12,beginner
She speak three language fluent err34-6.,0,0.08,beginner
He work as software engineer at Jakarta err19-9.,0,0.13,beginner
My sister bought a new laptop last week ref59-12.,1,0.95,advanced
He plays the piano beautifully ref13-3.,1,0.95,advanced
The train arrive at station in schedule err64-13.,0,0.12,beginner
She speak three language fluent err53-6.,0,0.08,beginner
I have never see such beautiful sunset err33-4.,0,0.1,beginner
He works as a software engineer in Jakarta ref36-10.,1,0.95,advanced
Children should eats healthy food err23-8.,0,0.11,beginner
The book that I read yesterday was interesting ref24-2.,1,0.95,advanced
The students completed their homework on time ref71-6.,1,0.95,advanced
The meeting was postponed until next Monday ref49-8.,1,0.95,advanced
She speak three language fluent err52-6.,0,0.08,beginner
We will visiting museum tomorrow err70-3.,0,0.13,beginner
We will visiting museum tomorrow err31-3.,0,0.13,beginner
The weather today is more warm than yesterday err50-10.,0,0.14,beginner
She speaks three languages fluently ref24-7.,1,0.95,advanced
The weather today is more warm than yesterday err32-10.,0,0.14,beginner
He play piano beautiful err65-2.,0,0.14,beginner
The weather today is warmer than yesterday ref63-11.,1,0.95,advanced
Reading book help improve you vocabulary err1-12.,0,0.09,beginner
Children should eats healthy food err39-8.,0,0.11,beginner
My sister buyed a new laptop last week err70-11.,0,0.1,beginner
The students complete their homework on time yesterday err68-5.,0,0.12,beginner
She speak three language fluent err50-6.,0,0.08,beginner
There is many problem with this sentence err26-14.,0,0.11,beginner
There is many problem with this sentence err76-14.,0,0.11,beginner
Children should eat healthy food every day ref2-9.,1,0.95,advanced
She goes to school every day ref15-0.,1,0.95,advanced
We will visit the museum tomorrow ref58-4.,1,0.95,advanced
The train arrived at the station on schedule ref49-14.,1,0.95,advanced
The meeting were postpone until Monday err74-7.,0,0.15,beginner
She goes to school every day ref11-0.,1,0.95,advanced
They has been study English err58-1.,0,0.09,beginner
The students complete their homework on time yesterday err21-5.,0,0.12,beginner
The train arrived at the station on schedule ref33-14.,1,0.95,advanced
The meeting was postponed until next Monday ref19-8.,1,0.95,advanced
They has been study English err39-1.,0,0.09,beginner
Children should eats healthy food err19-8.,0,0.11,beginner
She speaks three languages fluently ref19-7.,1,0.95,advanced
The train arrived at the station on schedule ref39-14.,1,0.95,advanced
The weather today is more warm than yesterday err16-10.,0,0.14,beginner
Reading books helps improve your vocabulary ref21-13.,1,0.95,advanced
They have been studying English for two years ref6-1.,1,0.95,advanced
He play piano beautiful err2-2.,0,0.14,beginner
There is many problem with this sentence err36-14.,0,0.11,beginner
He play piano beautiful err61-2.,0,0.14,beginner
The train arrive at station in schedule err63-13.,0,0.12,beginner
She speaks three languages fluently ref55-7.,1,0.95,advanced
He work as software engineer at Jakarta err76-9.,0,0.13,beginner
I have never seen such a beautiful sunset ref74-5.,1,0.95,advanced
She speaks three languages fluently ref62-7.,1,0.95,advanced
She goes to school every day ref44-0.,1,0.95,advanced
The train arrive at station in schedule err73-13.,0,0.12,beginner
My sister bought a new laptop last week ref78-12.,1,0.95,advanced
The train arrive at station in schedule err78-13.,0,0.12,beginner
Children should eats healthy food err51-8.,0,0.11,beginner
He play piano beautiful err34-2.,0,0.14,beginner
The weather today is more warm than yesterday err60-10.,0,0.14,beginner
Children should eat healthy food every day ref38-9.,1,0.95,advanced
I have never seen such a beautiful sunset ref51-5.,1,0.95,advanced
Children should eats healthy food err26-8.,0,0.11,beginner
The book that I read yesterday was interesting ref28-2.,1,0.95,advanced
He work as software engineer at Jakarta err52-9.,0,0.13,beginner
The students completed their homework on time ref66-6.,1,0.95,advanced
The meeting were postpone until Monday err5-7.,0,0.15,beginner
The weather today is warmer than yesterday ref11-11.,1,0.95,advanced
We will visit the museum tomorrow ref74-4.,1,0.95,advanced
Reading books helps improve your vocabulary ref28-13.,1,0.95,advanced
He play piano beautiful err10-2.,0,0.14,beginner
The meeting were postpone until Monday err61-7.,0,0.15,beginner
He plays the piano beautifully ref38-3.,1,0.95,advanced
I have never seen such a beautiful sunset ref46-5.,1,0.95,advanced
Children should eat healthy food every day ref44-9.,1,0.95,advanced
He plays the piano beautifully ref20-3.,1,0.95,advanced
He works as a software engineer in Jakarta ref71-10.,1,0.95,advanced
The students complete their homework on time yesterday err71-5.,0,0.12,beginner
Reading books helps improve your vocabulary ref79-13.,1,0.95,advanced
There is many problem with this sentence err72-14.,0,0.11,beginner
I have never see such beautiful sunset err65-4.,0,0.1,beginner
Children should eats healthy food err48-8.,0,0.11,beginner
He plays the piano beautifully ref42-3.,1,0.95,advanced
He works as a software engineer in Jakarta ref38-10.,1,0.95,advanced
Children should eat healthy food every day ref27-9.,1,0.95,advanced
We will visit the museum tomorrow ref52-4.,1,0.95,advanced
The meeting were postpone until Monday err60-7.,0,0.15,beginner
She speak three language fluent err0-6.,0,0.08,beginner
The meeting were postpone until Monday err72-7.,0,0.15,beginner
There is many problem with this sentence err78-14.,0,0.11,beginner
She go to school every day err28-0.,0,0.11,beginner
She speaks three languages fluently ref14-7.,1,0.95,advanced
My sister bought a new laptop last week ref76-12.,1,0.95,advanced
She go to school every day err52-0.,0,0.11,beginner
He work as software engineer at Jakarta err13-9.,0,0.13,beginner
The meeting was postponed until next Monday ref59-8.,1,0.95,advanced
The students completed their homework on time ref76-6.,1,0.95,advanced
She speaks three languages fluently ref39-7.,1,0.95,advanced
The train arrive at station in schedule err71-13.,0,0.12,beginner
The students complete their homework on time yesterday err67-5.,0,0.12,beginner
The students complete their homework on time yesterday err15-5.,0,0.12,beginner
She goes to school every day ref55-0.,1,0.95,advanced
I have never see such beautiful sunset err60-4.,0,0.1,beginner
We will visit the museum tomorrow ref35-4.,1,0.95,advanced
She goes to school every day ref36-0.,1,0.95,advanced
The weather today is more warm than yesterday err54-10.,0,0.14,beginner
He play piano beautiful err40-2.,0,0.14,beginner
She speaks three languages fluently ref30-7.,1,0.95,advanced
He work as software engineer at Jakarta err22-9.,0,0.13,beginner
Children should eats healthy food err35-8.,0,0.11,beginner
There is many problem with this sentence err38-14.,0,0.11,beginner
He works as a software engineer in Jakarta ref37-10.,1,0.95,advanced
There is many problem with this sentence err67-14.,0,0.11,beginner
I have never seen such a beautiful sunset ref18-5.,1,0.95,advanced
She speaks three languages fluently ref38-7.,1,0.95,advanced
My sister bought a new laptop last week ref4-12.,1,0.95,advanced
There is many problem with this sentence err5-14.,0,0.11,beginner
She speak three language fluent err26-6.,0,0.08,beginner
They have been studying English for two years ref41-1.,1,0.95,advanced
There is many problem with this sentence err16-14.,0,0.11,beginner
He work as software engineer at Jakarta err75-9.,0,0.13,beginner
We will visiting museum tomorrow err46-3.,0,0.13,beginner
The students completed their homework on time ref55-6.,1,0.95,advanced
The train arrive at station in schedule err47-13.,0,0.12,beginner
The meeting was postponed until next Monday ref78-8.,1,0.95,advanced
The train arrive at station in schedule err34-13.,0,0.12,beginner
My sister buyed a new laptop last week err53-11.,0,0.1,beginner
The weather today is warmer than yesterday ref33-11.,1,0.95,advanced
There is many problem with this sentence err6-14.,0,0.11,beginner
She speaks three languages fluently ref0-7.,1,0.95,advanced
She go to school every day err66-0.,0,0.11,beginner
The students completed their homework on time ref40-6.,1,0.95,advanced
The train arrived at the station on schedule ref13-14.,1,0.95,advanced
The book that I read yesterday was interesting ref54-2.,1,0.95,advanced
They has been study English err1-1.,0,0.09,beginner
Reading book help improve you vocabulary err62-12.,0,0.09,beginner
The book that I read yesterday was interesting ref35-2.,1,0.95,advanced
There is many problem with this sentence err17-14.,0,0.11,beginner
They have been studying English for two years ref35-1.,1,0.95,advanced
She speaks three languages fluently ref74-7.,1,0.95,advanced
We will visit the museum tomorrow ref69-4.,1,0.95,advanced
We will visit the museum tomorrow ref23-4.,1,0.95,advanced
Children should eats healthy food err73-8.,0,0.11,beginner
Children should eats healthy food err3-8.,0,0.11,beginner
I have never see such beautiful sunset err31-4.,0,0.1,beginner
Children should eats healthy food err11-8.,0,0.11,beginner
My sister buyed a new laptop last week err3-11.,0,0.1,beginner
They has been study English err55-1.,0,0.09,beginner
Children should eats healthy food err25-8.,0,0.11,beginner
Reading book help improve you vocabulary err27-12.,0,0.09,beginner
He play piano beautiful err28-2.,0,0.14,beginner
My sister buyed a new laptop last week err65-11.,0,0.1,beginner
The book that I read yesterday was interesting ref15-2.,1,0.95,advanced
She speak three language fluent err20-6.,0,0.08,beginner
The students complete their homework on time yesterday err54-5.,0,0.12,beginner
There is many problem with this sentence err62-14.,0,0.11,beginner
They has been study English err66-1.,0,0.09,beginner
The meeting was postponed until next Monday ref65-8.,1,0.95,advanced
The meeting was postponed until next Monday ref71-8.,1,0.95,advanced
Children should eats healthy food err2-8.,0,0.11,beginner
She goes to school every day ref23-0.,1,0.95,advanced
The train arrived at the station on schedule ref62-14.,1,0.95,advanced
We will visiting museum tomorrow err48-3.,0,0.13,beginner
He plays the piano beautifully ref75-3.,1,0.95,advanced
They have been studying English for two years ref52-1.,1,0.95,advanced
Children should eat healthy food every day ref5-9.,1,0.95,advanced
Children should eats healthy food err1-8.,0,0.11,beginner
He plays the piano beautifully ref74-3.,1,0.95,advanced
We will visiting museum tomorrow err69-3.,0,0.13,beginner
She goes to school every day ref63-0.,1,0.95,advanced
The book that I read yesterday was interesting ref36-2.,1,0.95,advanced
The weather today is warmer than yesterday ref32-11.,1,0.95,advanced
She speaks three languages fluently ref41-7.,1,0.95,advanced
He work as software engineer at Jakarta err43-9.,0,0.13,beginner
The train arrived at the station on schedule ref69-14.,1,0.95,advanced
Children should eat healthy food every day ref72-9.,1,0.95,advanced
I have never see such beautiful sunset err11-4.,0,0.1,beginner
Reading books helps improve your vocabulary ref67-13.,1,0.95,advanced
Children should eat healthy food every day ref14-9.,1,0.95,advanced
The weather today is more warm than yesterday err12-10.,0,0.14,beginner
She go to school every day err36-0.,0,0.11,beginner
Reading book help improve you vocabulary err76-12.,0,0.09,beginner
The train arrived at the station on schedule ref25-14.,1,0.95,advanced
Reading book help improve you vocabulary err30-12.,0,0.09,beginner
She speaks three languages fluently ref33-7.,1,0.95,advanced
The weather today is more warm than yesterday err51-10.,0,0.14,beginner
She speak three language fluent err35-6.,0,0.08,beginner
I have never seen such a beautiful sunset ref47-5.,1,0.95,advanced
The weather today is warmer than yesterday ref2-11.,1,0.95,advanced
The students complete their homework on time yesterday err13-5.,0,0.12,beginner
He play piano beautiful err56-2.,0,0.14,beginner
Reading book help improve you vocabulary err55-12.,0,0.09,beginner
I have never see such beautiful sunset err46-4.,0,0.1,beginner
Children should eat healthy food every day ref77-9.,1,0.95,advanced
The students completed their homework on time ref0-6.,1,0.95,advanced
They have been studying English for two years ref66-1.,1,0.95,advanced
Reading books helps improve your vocabulary ref39-13.,1,0.95,advanced
The meeting were postpone until Monday err75-7.,0,0.15,beginner
The students complete their homework on time yesterday err63-5.,0,0.12,beginner
He work as software engineer at Jakarta err66-9.,0,0.13,beginner
We will visiting museum tomorrow err77-3.,0,0.13,beginner
He plays the piano beautifully ref37-3.,1,0.95,advanced
She goes to school every day ref74-0.,1,0.95,advanced
She goes to school every day ref61-0.,1,0.95,advanced
The students complete their homework on time yesterday err23-5.,0,0.12,beginner
The book that I read yesterday was interesting ref58-2.,1,0.95,advanced
Reading books helps improve your vocabulary ref22-13.,1,0.95,advanced
The meeting was postponed until next Monday ref36-8.,1,0.95,advanced
I have never seen such a beautiful sunset ref79-5.,1,0.95,advanced
She goes to school every day ref67-0.,1,0.95,advanced
He work as software engineer at Jakarta err60-9.,0,0.13,beginner
The meeting were postpone until Monday err56-7.,0,0.15,beginner
The train arrive at station in schedule err20-13.,0,0.12,beginner
We will visiting museum tomorrow err49-3.,0,0.13,beginner
The train arrive at station in schedule err27-13.,0,0.12,beginner
There is many problem with this sentence err60-14.,0,0.11,beginner
He work as software engineer at Jakarta err72-9.,0,0.13,beginner
There is many problem with this sentence err45-14.,0,0.11,beginner
I have never see such beautiful sunset err14-4.,0,0.1,beginner
They has been study English err27-1.,0,0.09,beginner
She speak three language fluent err7-6.,0,0.08,beginner
I have never seen such a beautiful sunset ref73-5.,1,0.95,advanced
She go to school every day err9-0.,0,0.11,beginner
Reading books helps improve your vocabulary ref53-13.,1,0.95,advanced
The students completed their homework on time ref39-6.,1,0.95,advanced
They has been study English err12-1.,0,0.09,beginner
They has been study English err30-1.,0,0.09,beginner
The weather today is more warm than yesterday err28-10.,0,0.14,beginner
The students complete their homework on time yesterday err39-5.,0,0.12,beginner
He works as a software engineer in Jakarta ref53-10.,1,0.95,advanced
He work as software engineer at Jakarta err64-9.,0,0.13,beginner
Reading books helps improve your vocabulary ref77-13.,1,0.95,advanced
Children should eat healthy food every day ref42-9.,1,0.95,advanced
He work as software engineer at Jakarta err34-9.,0,0.13,beginner
Children should eats healthy food err59-8.,0,0.11,beginner
She speaks three languages fluently ref7-7.,1,0.95,advanced
Children should eat healthy food every day ref17-9.,1,0.95,advanced
There is many problem with this sentence err75-14.,0,0.11,beginner
He works as a software engineer in Jakarta ref56-10.,1,0.95,advanced
We will visiting museum tomorrow err53-3.,0,0.13,beginner
I have never see such beautiful sunset err10-4.,0,0.1,beginner
The train arrived at the station on schedule ref20-14.,1,0.95,advanced
He work as software engineer at Jakarta err9-9.,0,0.13,beginner
She go to school every day err34-0.,0,0.11,beginner
The meeting were postpone until Monday err45-7.,0,0.15,beginner
The weather today is warmer than yesterday ref40-11.,1,0.95,advanced
Reading book help improve you vocabulary err58-12.,0,0.09,beginner
The train arrive at station in schedule err54-13.,0,0.12,beginner
They have been studying English for two years ref61-1.,1,0.95,advanced
He work as software engineer at Jakarta err29-9.,0,0.13,beginner
The book that I read yesterday was interesting ref12-2.,1,0.95,advanced
There is many problem with this sentence err34-14.,0,0.11,beginner
I have never seen such a beautiful sunset ref4-5.,1,0.95,advanced
There is many problem with this sentence err64-14.,0,0.11,beginner
She speaks three languages fluently ref11-7.,1,0.95,advanced
They has been study English err61-1.,0,0.09,beginner
I have never seen such a beautiful sunset ref19-5.,1,0.95,advanced
They have been studying English for two years ref40-1.,1,0.95,advanced
They have been studying English for two years ref2-1.,1,0.95,advanced
She speaks three languages fluently ref64-7.,1,0.95,advanced
We will visiting museum tomorrow err60-3.,0,0.13,beginner
She speaks three languages fluently ref76-7.,1,0.95,advanced
She speak three language fluent err12-6.,0,0.08,beginner
The students completed their homework on time ref25-6.,1,0.95,advanced
My sister bought a new laptop last week ref25-12.,1,0.95,advanced
The meeting was postponed until next Monday ref3-8.,1,0.95,advanced
Children should eat healthy food every day ref63-9.,1,0.95,advanced
I have never seen such a beautiful sunset ref3-5.,1,0.95,advanced
Reading book help improve you vocabulary err2-12.,0,0.09,beginner
There is many problem with this sentence err66-14.,0,0.11,beginner
She goes to school every day ref78-0.,1,0.95,advanced
The weather today is more warm than yesterday err74-10.,0,0.14,beginner
The meeting were postpone until Monday err38-7.,0,0.15,beginner
Reading books helps improve your vocabulary ref23-13.,1,0.95,advanced
The students completed their homework on time ref5-6.,1,0.95,advanced
He play piano beautiful err79-2.,0,0.14,beginner
The train arrived at the station on schedule ref57-14.,1,0.95,advanced
The weather today is warmer than yesterday ref72-11.,1,0.95,advanced
Reading book help improve you vocabulary err73-12.,0,0.09,beginner
He works as a software engineer in Jakarta ref63-10.,1,0.95,advanced
The students complete their homework on time yesterday err49-5.,0,0.12,beginner
She speaks three languages fluently ref3-7.,1,0.95,advanced
The students completed their homework on time ref79-6.,1,0.95,advanced
The students completed their homework on time ref58-6.,1,0.95,advanced
There is many problem with this sentence err55-14.,0,0.11,beginner
The students completed their homework on time ref32-6.,1,0.95,advanced
She speaks three languages fluently ref28-7.,1,0.95,advanced
I have never see such beautiful sunset err77-4.,0,0.1,beginner
The train arrive at station in schedule err58-13.,0,0.12,beginner
The book that I read yesterday was interesting ref52-2.,1,0.95,advanced
Children should eat healthy food every day ref30-9.,1,0.95,advanced
Children should eats healthy food err33-8.,0,0.11,beginner
The train arrived at the station on schedule ref73-14.,1,0.95,advanced
He works as a software engineer in Jakarta ref7-10.,1,0.95,advanced
They has been study English err29-1.,0,0.09,beginner
We will visiting museum tomorrow err24-3.,0,0.13,beginner
He work as software engineer at Jakarta err18-9.,0,0.13,beginner
The train arrived at the station on schedule ref46-14.,1,0.95,advanced
The students complete their homework on time yesterday err76-5.,0,0.12,beginner
There is many problem with this sentence err77-14.,0,0.11,beginner
My sister buyed a new laptop last week err56-11.,0,0.1,beginner
They has been study English err60-1.,0,0.09,beginner
Reading book help improve you vocabulary err3-12.,0,0.09,beginner
The train arrive at station in schedule err23-13.,0,0.12,beginner
Reading book help improve you vocabulary err54-12.,0,0.09,beginner
Children should eat healthy food every day ref68-9.,1,0.95,advanced
The students complete their homework on time yesterday err14-5.,0,0.12,beginner
She goes to school every day ref50-0.,1,0.95,advanced
The students completed their homework on time ref49-6.,1,0.95,advanced
The train arrived at the station on schedule ref15-14.,1,0.95,advanced
She go to school every day err62-0.,0,0.11,beginner
He plays the piano beautifully ref51-3.,1,0.95,advanced
He plays the piano beautifully ref48-3.,1,0.95,advanced
Reading book help improve you vocabulary err59-12.,0,0.09,beginner
The book that I read yesterday was interesting ref11-2.,1,0.95,advanced
The students complete their homework on time yesterday err43-5.,0,0.12,beginner
The weather today is more warm than yesterday err49-10.,0,0.14,beginner
There is many problem with this sentence err19-14.,0,0.11,beginner
Reading book help improve you vocabulary err77-12.,0,0.09,beginner
Children should eat healthy food every day ref21-9.,1,0.95,advanced
Children should eat healthy food every day ref70-9.,1,0.95,advanced
The meeting was postponed until next Monday ref77-8.,1,0.95,advanced
She speaks three languages fluently ref69-7.,1,0.95,advanced
We will visit the museum tomorrow ref39-4.,1,0.95,advanced
She goes to school every day ref73-0.,1,0.95,advanced
The train arrive at station in schedule err44-13.,0,0.12,beginner
Reading book help improve you vocabulary err60-12.,0,0.09,beginner
The students completed their homework on time ref74-6.,1,0.95,advanced
The weather today is warmer than yesterday ref55-11.,1,0.95,advanced
We will visit the museum tomorrow ref15-4.,1,0.95,advanced
She speaks three languages fluently ref35-7.,1,0.95,advanced
Children should eat healthy food every day ref24-9.,1,0.95,advanced
He plays the piano beautifully ref53-3.,1,0.95,advanced
The students complete their homework on time yesterday err3-5.,0,0.12,beginner
My sister bought a new laptop last week ref23-12.,1,0.95,advanced
They has been study English err14-1.,0,0.09,beginner
The meeting were postpone until Monday err37-7.,0,0.15,beginner
He play piano beautiful err74-2.,0,0.14,beginner
We will visiting museum tomorrow err43-3.,0,0.13,beginner
The book that I read yesterday was interesting ref2-2.,1,0.95,advanced
He plays the piano beautifully ref41-3.,1,0.95,advanced
Reading book help improve you vocabulary err32-12.,0,0.09,beginner
The train arrive at station in schedule err21-13.,0,0.12,beginner
The book that I read yesterday was interesting ref76-2.,1,0.95,advanced
Reading books helps improve your vocabulary ref59-13.,1,0.95,advanced
Children should eats healthy food err17-8.,0,0.11,beginner
We will visit the museum tomorrow ref72-4.,1,0.95,advanced
The weather today is more warm than yesterday err53-10.,0,0.14,beginner
She goes to school every day ref31-0.,1,0.95,advanced
The meeting were postpone until Monday err26-7.,0,0.15,beginner
He work as software engineer at Jakarta err24-9.,0,0.13,beginner
He play piano beautiful err38-2.,0,0.14,beginner
They has been study English err46-1.,0,0.09,beginner
They have been studying English for two years ref48-1.,1,0.95,advanced
They has been study English err7-1.,0,0.09,beginner
He work as software engineer at Jakarta err74-9.,0,0.13,beginner
The students completed their homework on time ref37-6.,1,0.95,advanced
The train arrived at the station on schedule ref77-14.,1,0.95,advanced
She speaks three languages fluently ref20-7.,1,0.95,advanced
Children should eats healthy food err74-8.,0,0.11,beginner
He works as a software engineer in Jakarta ref12-10.,1,0.95,advanced
